experiment,model,image_size,external,fold,epochs,best_epoch,pr_auc,roc_auc,sens_at_95_spec,best_threshold,f1_at_best_threshold,n_train,n_val,val_positives,pos_weight,minutes
resnet34_224_ext,resnet34,224,True,0,10,10,0.212330,0.884590,0.504274,0.705032,0.333333,51228,6627,117,9.410079,22.313875
resnet34_224_ext,resnet34,224,True,1,10,10,0.158904,0.870441,0.465517,0.706642,0.281481,51230,6625,116,9.408371,22.385406
resnet34_224_ext,resnet34,224,True,2,10,7,0.286251,0.903949,0.586207,0.682139,0.365957,51234,6621,116,9.409184,22.354017
resnet34_224_ext,resnet34,224,True,3,10,7,0.253924,0.897193,0.529915,0.627586,0.309038,51227,6628,117,9.409876,22.233182
resnet34_224_ext,resnet34,224,True,4,10,5,0.231149,0.880489,0.508475,0.642249,0.244131,51230,6625,118,9.412601,22.370035
resnet34_224_noext,resnet34,224,False,0,10,8,0.163171,0.862773,0.435897,0.924605,0.237410,26499,6627,117,55.743042,12.489871
resnet34_224_noext,resnet34,224,False,1,10,10,0.157043,0.879942,0.439655,0.871118,0.245232,26501,6625,116,55.626068,12.477798
resnet34_224_noext,resnet34,224,False,2,10,9,0.198046,0.885483,0.465517,0.912930,0.289963,26505,6621,116,55.634617,12.531216
resnet34_224_noext,resnet34,224,False,3,10,7,0.227105,0.896356,0.512821,0.852810,0.274611,26498,6628,117,55.740898,12.560111
resnet34_224_noext,resnet34,224,False,4,10,10,0.191155,0.879736,0.483051,0.934026,0.255924,26501,6625,118,55.869099,12.532213
